Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
296,5,5.000,77186,78829,167675,134454,168939,179644,179644,179644,179644
297,2,2.000,799026,799026,1364399,1081712,1364399,1364399,1364399,1364399,1364399
298,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
299,2,2.000,171208,171208,706090,438649,706090,706090,706090,706090,706090
300,2,2.000,160762,160762,770432,465597,770432,770432,770432,770432,770432
301,1,1.000,1364165,1364165,1364165,1364165,1364165,1364165,1364165,1364165,1364165
302,1,1.000,816433,816433,816433,816433,816433,816433,816433,816433,816433
303,2,2.000,718646,718646,999118,858882,999118,999118,999118,999118,999118
304,1,1.000,453369,453369,453369,453369,453369,453369,453369,453369,453369
305,2,2.000,161326,161326,494020,327673,494020,494020,494020,494020,494020
306,3,3.000,162205,162205,164680,344995,708100,708100,708100,708100,708100
307,3,3.000,94790,94790,603351,541215,925506,925506,925506,925506,925506
308,2,2.000,161600,161600,758163,459881,758163,758163,758163,758163,758163
309,3,3.000,161110,161110,163831,373716,796209,796209,796209,796209,796209
310,1,1.000,489222,489222,489222,489222,489222,489222,489222,489222,489222
311,1,1.000,1001446,1001446,1001446,1001446,1001446,1001446,1001446,1001446,1001446
312,2,2.000,160360,160360,967405,563882,967405,967405,967405,967405,967405
313,2,2.000,161700,161700,657207,409453,657207,657207,657207,657207,657207
314,2,2.000,714519,714519,1052056,883287,1052056,1052056,1052056,1052056,1052056
315,1,1.000,160381,160381,160381,160381,160381,160381,160381,160381,160381
316,4,4.000,161104,161868,187774,240851,452660,452660,452660,452660,452660
317,1,1.000,1570902,1570902,1570902,1570902,1570902,1570902,1570902,1570902,1570902
318,1,1.000,749857,749857,749857,749857,749857,749857,749857,749857,749857
319,2,2.000,549426,549426,875775,712600,875775,875775,875775,875775,875775
320,1,1.000,544103,544103,544103,544103,544103,544103,544103,544103,544103
321,1,1.000,1337609,1337609,1337609,1337609,1337609,1337609,1337609,1337609,1337609
322,1,1.000,448171,448171,448171,448171,448171,448171,448171,448171,448171
323,2,2.000,496440,496440,715828,606134,715828,715828,715828,715828,715828
324,3,3.000,161484,161484,186101,437134,963817,963817,963817,963817,963817
325,2,2.000,160203,160203,979469,569836,979469,979469,979469,979469,979469
326,2,2.000,160325,160325,981834,571079,981834,981834,981834,981834,981834
327,1,1.000,158948,158948,158948,158948,158948,158948,158948,158948,158948
328,2,2.000,478928,478928,600080,539504,600080,600080,600080,600080,600080
329,4,4.000,158957,159850,187134,302072,702349,702349,702349,702349,702349
330,1,1.000,725397,725397,725397,725397,725397,725397,725397,725397,725397
331,4,4.000,160594,185388,446021,357267,637067,637067,637067,637067,637067
332,1,1.000,962220,962220,962220,962220,962220,962220,962220,962220,962220
333,3,3.000,162565,162565,162602,327686,657892,657892,657892,657892,657892
334,1,1.000,747092,747092,747092,747092,747092,747092,747092,747092,747092
335,1,1.000,806176,806176,806176,806176,806176,806176,806176,806176,806176
336,3,3.000,171720,171720,725552,564226,795408,795408,795408,795408,795408
337,1,1.000,445541,445541,445541,445541,445541,445541,445541,445541,445541
338,2,2.000,158812,158812,671867,415339,671867,671867,671867,671867,671867
339,2,2.000,654292,654292,710054,682173,710054,710054,710054,710054,710054
340,3,3.000,161978,161978,179386,334147,661078,661078,661078,661078,661078
341,2,2.000,159679,159679,656449,408064,656449,656449,656449,656449,656449
342,2,2.000,159522,159522,771036,465279,771036,771036,771036,771036,771036
343,4,4.000,160612,162439,497101,410590,822211,822211,822211,822211,822211
344,2,2.000,159574,159574,382768,271171,382768,382768,382768,382768,382768
345,2,2.000,157415,157415,555782,356598,555782,555782,555782,555782,555782
346,2,2.000,872021,872021,1408512,1140266,1408512,1408512,1408512,1408512,1408512
347,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
348,1,1.000,820381,820381,820381,820381,820381,820381,820381,820381,820381
349,3,3.000,167064,167064,172306,450725,1012805,1012805,1012805,1012805,1012805
350,3,3.000,171751,171751,173265,483225,1104660,1104660,1104660,1104660,1104660
351,1,1.000,168185,168185,168185,168185,168185,168185,168185,168185,168185
352,3,3.000,169173,169173,196727,478838,1070614,1070614,1070614,1070614,1070614
353,1,1.000,730292,730292,730292,730292,730292,730292,730292,730292,730292
354,3,3.000,160720,160720,161970,259177,454842,454842,454842,454842,454842
355,2,2.000,612105,612105,846592,729348,846592,846592,846592,846592,846592
356,2,2.000,88439,88439,840514,464476,840514,840514,840514,840514,840514
357,3,3.000,91190,91190,169978,290188,609396,609396,609396,609396,609396
358,1,1.000,693890,693890,693890,693890,693890,693890,693890,693890,693890
359,3,3.000,157831,157831,492165,471204,763616,763616,763616,763616,763616
360,2,2.000,165209,165209,814945,490077,814945,814945,814945,814945,814945
361,1,1.000,1060447,1060447,1060447,1060447,1060447,1060447,1060447,1060447,1060447
362,3,3.000,162833,162833,163826,257882,446988,446988,446988,446988,446988
363,3,3.000,165258,165258,185469,294038,531387,531387,531387,531387,531387
364,3,3.000,160448,160448,444717,387986,558794,558794,558794,558794,558794
365,3,3.000,163157,163157,165001,432670,969852,969852,969852,969852,969852
366,1,1.000,830021,830021,830021,830021,830021,830021,830021,830021,830021
367,1,1.000,667969,667969,667969,667969,667969,667969,667969,667969,667969
368,4,4.000,87795,161100,162306,240810,552041,552041,552041,552041,552041
369,2,2.000,84309,84309,864151,474230,864151,864151,864151,864151,864151
370,3,3.000,85313,85313,638699,458296,650876,650876,650876,650876,650876
