Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
4,Delivery,1714114694.846868,1365140,0,1
1,NewOrder,1714114696.212020,660891,0,1
2,Payment,1714114696.872924,162019,0,1
1,NewOrder,1714114697.034955,146103,0,1
1,NewOrder,1714114697.181071,658371,0,1
2,Payment,1714114697.839455,159687,0,1
2,Payment,1714114697.999155,159573,0,1
2,Payment,1714114698.158741,182490,0,1
1,NewOrder,1714114698.341243,1029026,0,1
1,NewOrder,1714114699.370283,495469,0,1
2,Payment,1714114699.865765,198916,0,1
1,NewOrder,1714114700.064693,737134,0,1
1,NewOrder,1714114700.801840,677381,0,1
3,OrderStatus,1714114701.479234,94045,0,1
2,Payment,1714114701.573291,202993,0,1
3,OrderStatus,1714114701.776297,91477,0,1
1,NewOrder,1714114701.867786,735246,0,1
2,Payment,1714114702.603046,164583,0,1
1,NewOrder,1714114702.767642,918260,0,1
2,Payment,1714114703.685914,168551,0,1
2,Payment,1714114703.854477,179147,0,1
1,NewOrder,1714114704.033637,974435,0,1
1,NewOrder,1714114705.008084,686566,0,1
1,NewOrder,1714114705.694662,780055,0,1
2,Payment,1714114706.474730,165653,0,1
1,NewOrder,1714114706.640395,643609,0,1
1,NewOrder,1714114707.284016,924216,0,1
4,Delivery,1714114708.208247,1354371,0,1
2,Payment,1714114709.562630,160468,0,1
2,Payment,1714114709.723111,187081,0,1
1,NewOrder,1714114709.910205,465005,0,1
1,NewOrder,1714114710.375222,575827,0,1
2,Payment,1714114710.951062,167456,0,1
1,NewOrder,1714114711.118532,726250,0,1
1,NewOrder,1714114711.844795,463165,0,1
2,Payment,1714114712.307973,161924,0,1
4,Delivery,1714114712.469910,1341128,0,1
1,NewOrder,1714114713.811051,949620,0,1
1,NewOrder,1714114714.760684,748698,0,1
2,Payment,1714114715.509395,159561,0,1
3,OrderStatus,1714114715.668969,86404,0,1
2,Payment,1714114715.755386,159355,0,1
5,StockLevel,1714114715.914754,71991,0,1
2,Payment,1714114715.986758,164965,0,1
2,Payment,1714114716.151736,172083,0,1
2,Payment,1714114716.323832,163407,0,1
2,Payment,1714114716.487253,160271,0,1
1,NewOrder,1714114716.647537,929054,0,1
2,Payment,1714114717.576604,158872,0,1
2,Payment,1714114717.735488,159321,0,1
1,NewOrder,1714114717.894823,990721,0,1
1,NewOrder,1714114718.885556,763515,0,1
1,NewOrder,1714114719.649084,919833,0,1
1,NewOrder,1714114720.568929,751434,0,1
2,Payment,1714114721.320376,163195,0,1
1,NewOrder,1714114721.483584,849515,0,1
1,NewOrder,1714114722.333112,444861,0,1
1,NewOrder,1714114722.777986,912643,0,1
2,Payment,1714114723.690641,160355,0,1
1,NewOrder,1714114723.851009,922281,0,1
2,Payment,1714114724.773303,158358,0,1
2,Payment,1714114724.931686,160148,0,1
2,Payment,1714114725.091848,160446,0,1
2,Payment,1714114725.252310,162417,0,1
3,OrderStatus,1714114725.414742,86071,0,1
1,NewOrder,1714114725.500829,487237,0,1
1,NewOrder,1714114725.988082,445576,0,1
1,NewOrder,1714114726.433673,834080,0,1
2,Payment,1714114727.267768,161227,0,1
2,Payment,1714114727.429011,161512,0,1
2,Payment,1714114727.590538,185147,0,1
2,Payment,1714114727.775701,159702,0,1
2,Payment,1714114727.935418,158896,0,1
2,Payment,1714114728.094330,156455,0,1
2,Payment,1714114728.250800,191255,0,1
1,NewOrder,1714114728.442070,445444,0,1
2,Payment,1714114728.887530,161865,0,1
5,StockLevel,1714114729.049411,71401,0,1
1,NewOrder,1714114729.120827,851473,0,1
1,NewOrder,1714114729.972316,930647,0,1
1,NewOrder,1714114730.902979,876736,0,1
2,Payment,1714114731.779730,187988,0,1
1,NewOrder,1714114731.967733,602203,0,1
1,NewOrder,1714114732.569953,767063,0,1
2,Payment,1714114733.337032,161548,0,1
2,Payment,1714114733.498596,164615,0,1
2,Payment,1714114733.663226,160594,0,1
2,Payment,1714114733.823836,161435,0,1
2,Payment,1714114733.985287,162356,0,1
1,NewOrder,1714114734.147659,442194,0,1
2,Payment,1714114734.589868,191410,0,1
1,NewOrder,1714114734.781295,604980,0,1
2,Payment,1714114735.386290,163067,0,1
2,Payment,1714114735.549374,160930,0,1
1,NewOrder,1714114735.710320,768709,0,1
5,StockLevel,1714114736.479046,71657,0,1
2,Payment,1714114736.550719,167168,0,1
2,Payment,1714114736.717905,159116,0,1
2,Payment,1714114736.877038,159472,0,1
2,Payment,1714114737.036527,159638,0,1
2,Payment,1714114737.196182,160568,0,1
2,Payment,1714114737.356767,185845,0,1
2,Payment,1714114737.542628,161716,0,1
2,Payment,1714114737.704361,187409,0,1
2,Payment,1714114737.891787,160087,0,1
2,Payment,1714114738.051891,157564,0,1
2,Payment,1714114738.209472,159770,0,1
2,Payment,1714114738.369259,160879,0,1
2,Payment,1714114738.530155,185140,0,1
1,NewOrder,1714114738.715312,975739,0,1
2,Payment,1714114739.691068,161760,0,1
1,NewOrder,1714114739.852845,574472,0,1
1,NewOrder,1714114740.427333,790319,0,1
5,StockLevel,1714114741.217669,69585,0,1
1,NewOrder,1714114741.287271,774701,0,1
1,NewOrder,1714114742.061989,926413,0,1
1,NewOrder,1714114742.988418,521364,0,1
2,Payment,1714114743.509799,159599,0,1
1,NewOrder,1714114743.669415,923213,0,1
2,Payment,1714114744.592645,159792,0,1
2,Payment,1714114744.752454,189085,0,1
1,NewOrder,1714114744.941556,985358,0,1
1,NewOrder,1714114745.926931,617931,0,1
2,Payment,1714114746.544879,163317,0,1
2,Payment,1714114746.708212,158316,0,1
1,NewOrder,1714114746.866545,560423,0,1
1,NewOrder,1714114747.426985,1049635,0,1
2,Payment,1714114748.476637,161721,0,1
2,Payment,1714114748.638375,159895,0,1
1,NewOrder,1714114748.798287,719865,0,1
1,NewOrder,1714114749.518168,498033,0,1
2,Payment,1714114750.016218,162925,0,1
3,OrderStatus,1714114750.179159,85940,0,1
2,Payment,1714114750.265116,160398,0,1
1,NewOrder,1714114750.425530,797846,0,1
2,Payment,1714114751.223393,187578,0,1
