Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
129,202,4.906,0.857,1.948,3.002,7.534,8.993,10.848,17.672,18.223,0.204
130,186,5.366,1.028,2.185,2.504,8.065,10.395,13.336,17.783,18.004,0.186
131,225,4.455,0.837,1.82,2.176,6.712,8.446,9.807,15.275,17.629,0.224
132,239,4.163,0.837,1.843,2.056,6.343,8.205,9.011,15.104,15.3,0.24
133,232,4.308,0.834,1.796,2.893,6.366,7.755,9.123,14.875,17.412,0.232
134,220,4.567,1.01,2.09,2.526,7.142,8.768,9.664,14.601,17.203,0.219
135,177,5.643,1.101,2.186,2.693,8.469,10.472,16.977,17.569,17.774,0.177
136,196,5.066,1.077,2.176,2.712,7.843,10.43,10.879,17.028,17.428,0.197
137,186,5.383,1.138,2.219,2.54,8.187,10.182,11.024,18.183,18.287,0.186
138,188,5.315,1.034,2.171,2.57,8.015,10.357,12.534,17.884,17.903,0.188
139,210,4.767,1.07,2.118,2.336,7.592,9.707,10.449,17.028,17.969,0.21
140,199,4.972,1.043,2.061,2.303,7.58,10.108,14.7,18.313,20.216,0.201
141,231,4.331,0.855,1.799,2.18,6.34,8.154,14.083,14.715,16.825,0.231
142,242,4.15,0.86,1.801,2.048,6.365,7.796,8.712,14.705,14.865,0.241
143,187,5.374,1.019,2.035,2.713,7.419,10.223,15.082,21.393,44.088,0.186
144,166,5.945,1.076,2.36,2.759,9.029,11.73,12.414,19.135,24.377,0.168
145,185,5.409,1.133,2.26,2.56,8.414,10.561,11.364,18.129,18.217,0.185
146,184,5.406,1.046,2.237,2.556,8.274,10.568,17.834,18.52,18.698,0.185
147,75,24.241,1.187,2.227,2.33,7.67,9.942,10.987,1485.923,1485.923,0.041
148,29,6.233,1.101,2.332,5.41,11.041,11.625,11.667,11.736,11.736,0.16
149,205,4.896,0.838,1.823,4.464,6.915,8.697,14.607,15.077,16.836,0.204
150,238,4.202,0.844,1.807,2.029,6.075,8.062,14.408,14.889,14.947,0.238
151,183,5.427,0.875,2.311,2.675,7.959,10.969,11.679,19.368,21.531,0.184
152,197,5.059,1.079,2.193,2.602,7.73,9.728,10.939,17.682,18.519,0.198
153,188,5.311,1.057,2.227,3.25,8.093,10.383,11.265,17.92,18.121,0.188
154,196,5.107,1.144,2.241,2.442,7.875,10.07,11.285,18.434,19.142,0.196
155,191,5.234,1.235,2.232,2.467,7.925,10.371,11.234,18.734,20.949,0.191
156,191,5.219,1.007,2.147,2.44,8.347,10.169,10.978,17.607,18.897,0.192
157,186,5.358,1.029,2.164,3.455,8.088,10.328,10.868,17.846,17.892,0.187
158,183,5.473,1.043,2.207,5.061,8.222,10.06,10.779,17.78,18.686,0.183
159,187,5.326,0.988,2.243,2.491,7.962,10.741,14.412,18.757,26.814,0.188
160,175,5.732,1.013,2.245,2.633,8.489,10.742,17.807,19.329,19.679,0.174
161,179,5.579,1.061,2.18,5.045,8.286,10.668,11.307,18.163,19.079,0.179
162,120,18.213,1.074,2.192,5.256,8.624,10.455,17.161,17.886,1524.81,0.055
163,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
164,147,5.495,1.094,2.215,5.615,8.289,9.96,10.516,17.323,17.96,0.182
165,185,5.392,1.109,2.202,5.148,7.9,9.886,10.77,18.484,31.586,0.185
166,195,5.192,1.025,2.199,2.484,8.03,10.027,10.632,17.338,17.441,0.193
167,197,5,0.804,2.022,4.145,7.493,9.328,10.977,17.28,17.313,0.2
168,233,4.29,0.852,1.765,4.058,6.531,8.023,8.497,14.596,14.765,0.233
169,201,4.977,0.967,2.104,4.902,7.645,8.885,10.045,14.45,17.575,0.201
170,196,5.076,0.985,2.198,2.521,7.82,10.197,11.095,17.356,17.585,0.197
171,175,5.7,1.078,2.281,5.347,8.588,10.559,11.016,18.03,18.229,0.175
172,184,5.428,1.13,2.204,3.005,8.281,10.322,10.78,17.359,17.485,0.184
173,191,5.312,1.114,2.181,5.003,7.908,10.13,10.754,17.201,17.431,0.188
174,186,5.359,1.123,2.176,2.495,7.823,9.964,11.301,17.538,17.785,0.187
175,180,5.47,1.013,2.218,5.25,8.576,10.311,10.824,17.648,17.695,0.183
176,170,5.868,1.161,2.395,5.462,8.679,11.217,12.209,19.842,20.13,0.17
177,180,5.554,1.122,2.388,2.717,8.152,11.248,12.17,19.55,19.737,0.18
178,47,33.37,1.098,2.386,5.716,8.541,11.607,19.423,1288.77,1288.77,0.03
179,79,5.466,1.333,2.296,2.611,8.956,10.932,18.778,19.321,19.321,0.183
180,179,5.592,1.037,2.301,4.796,8.364,11.076,12.382,19.274,21.294,0.179
181,245,4.081,0.844,1.801,1.983,6.144,7.65,8.475,14.838,16.843,0.245
182,199,5.012,0.991,1.889,4.115,7.736,9.562,10.602,18.123,18.987,0.2
183,179,5.55,1.101,2.266,2.757,8.685,10.966,11.529,19.368,19.794,0.18
184,182,5.502,1.12,2.281,2.574,8.746,11.009,11.607,19.192,19.492,0.182
185,160,6.249,1.199,2.384,5.453,9.313,11.328,18.86,19.673,20.011,0.16
186,171,5.821,1.026,2.387,5.165,9.257,10.974,11.987,20.305,24.378,0.172
187,166,6.052,1.34,2.412,5.356,9.432,11.565,12.005,19.414,20.242,0.165
188,175,5.691,1.195,2.411,2.769,8.368,11.156,11.902,19.646,20.018,0.176
189,178,5.58,1.093,2.422,2.707,8.302,11.082,12.112,19.662,19.675,0.179
190,175,5.734,1.172,2.421,2.727,8.18,11.34,19.02,19.76,20.124,0.174
191,165,6.023,1.143,2.386,5.588,9.007,11.42,12.22,19.565,20.608,0.166
192,166,6.06,1.114,2.39,5.593,9.425,11.57,12.312,19.991,20.354,0.165
193,186,5.35,1.124,2.298,2.596,8.706,11.036,11.608,19.18,19.337,0.187
194,113,8.799,1.298,2.334,3.284,9.219,10.75,18.233,19.281,332.348,0.114
195,181,5.608,1.131,2.333,3.608,8.475,10.715,11.443,18.612,18.663,0.178
196,184,5.365,1.133,2.319,5.277,8.171,10.399,11.171,18.848,18.964,0.186
197,162,6.132,1.078,2.25,5.874,9.411,10.859,16.861,17.737,17.813,0.163
198,196,5.1,1.146,2.157,2.455,7.931,10.072,11.015,17.554,17.819,0.196
199,202,4.929,1.023,2.205,2.495,7.677,9.604,10.41,13.393,17.055,0.203
200,199,5.034,0.91,2.225,2.735,7.502,9.368,11.454,18.979,19.142,0.199
201,158,6.315,1.358,2.391,5.408,9.034,11.587,18.496,19.136,19.179,0.158
202,161,6.188,1.453,2.394,6.039,9.016,11.134,11.997,19.383,21.906,0.162
203,174,5.743,1.093,2.361,2.721,8.95,11.024,16.697,19.554,21.343,0.174
204,186,5.445,1.049,2.219,2.622,8.592,10.367,16.32,17.514,19.246,0.184
205,192,5.176,1.065,2.222,2.559,8.215,10.133,10.848,17.428,19.11,0.193
206,183,5.4,1.067,2.348,2.521,8.17,10.894,12.056,19.353,19.781,0.185
207,166,6.019,1.067,2.262,5.692,8.926,10.577,16.798,17.789,17.932,0.166
208,192,5.206,1.09,2.202,2.656,7.499,10.168,11.253,17.718,18.492,0.192
209,46,27.642,1.235,2.206,7.561,9.639,16.598,17.162,948.63,948.63,0.036
210,131,5.53,1.086,2.216,5.051,8.335,10.082,10.773,17.796,20.341,0.181
211,195,5.145,1.049,2.319,2.524,7.807,10.341,11.508,19.541,22.378,0.194
212,182,5.456,1.126,2.363,2.625,8.879,11.186,11.828,19.314,22.854,0.183
213,181,5.515,1.096,2.262,2.642,8.326,10.835,13.642,19.108,20.807,0.181
214,197,5.088,1.115,2.281,2.569,7.451,10.194,11.244,18.446,18.669,0.197
215,172,5.828,1.128,2.228,5.526,8.475,10.674,11.197,18.27,18.768,0.172
216,179,5.546,1.082,2.185,5.323,8.282,10.172,10.674,17.768,17.844,0.18
217,139,17.84,1.016,2.194,2.39,8.044,10.481,16.94,17.452,1799.027,0.056
218,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
219,113,4.598,0.905,1.882,2.293,7.347,9.112,10.721,17.019,17.405,0.217
220,192,5.246,1.1,2.208,4.955,8.085,9.658,10.49,17.258,17.422,0.191
221,182,5.435,1.106,2.267,5.247,8.084,9.895,10.913,18.379,18.618,0.184
222,184,5.459,1.111,2.345,5.36,8.122,10.35,10.961,18.77,22.483,0.183
223,178,5.573,1.088,2.3,2.614,8.562,10.961,11.695,18.961,19.061,0.179
224,174,5.727,1.136,2.336,5.534,8.963,10.707,11.088,19.118,19.148,0.175
225,170,5.867,1.156,2.317,5.389,8.943,11.237,11.661,19.086,19.509,0.17
226,180,5.632,1.163,2.418,2.693,8.833,11.091,12.154,19.718,19.761,0.178
227,164,5.998,1.183,2.328,5.147,8.83,10.749,17.008,19.022,22.098,0.167
228,171,5.843,1.107,2.235,5.235,8.991,10.459,10.926,18.942,21.457,0.171
229,205,4.864,1.053,2.169,2.405,7.435,10.049,10.784,17.706,17.861,0.206
230,193,5.211,1.168,2.185,2.529,7.836,10.194,11.03,17.818,20.374,0.192
231,194,5.109,0.982,2.152,4.593,7.929,10.007,10.336,17.3,17.377,0.196
232,197,5.07,1.092,2.115,2.507,7.543,10.394,11.322,18.489,18.622,0.197
233,200,5.014,0.842,1.823,4.124,7.769,10.444,11.778,14.892,20.121,0.199
234,49,20.411,0.853,1.813,4.06,6.783,8.257,8.528,792.004,792.004,0.049
235,244,4.075,0.815,1.803,2.049,6.155,8.03,8.656,14.8,14.9,0.245
236,191,5.236,0.865,2.044,4.54,7.367,10.214,15.755,17.428,17.633,0.191
237,246,4.053,0.833,1.8,1.966,6.396,8.147,8.612,14.631,14.799,0.247
238,238,4.179,0.814,1.801,2.172,6.166,8.287,8.765,17.541,20.125,0.239
239,195,5.123,0.844,2.06,2.975,7.816,10.037,11.236,17.749,18.071,0.195
