Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
162,3,3.000,58691,58691,540655,524478,974089,974089,974089,974089,974089
163,2,2.000,181676,181676,834594,508135,834594,834594,834594,834594,834594
164,3,3.000,163088,163088,172055,277749,498105,498105,498105,498105,498105
165,2,2.000,472031,472031,1006803,739417,1006803,1006803,1006803,1006803,1006803
166,1,1.000,849800,849800,849800,849800,849800,849800,849800,849800,849800
167,1,1.000,439465,439465,439465,439465,439465,439465,439465,439465,439465
168,1,1.000,821404,821404,821404,821404,821404,821404,821404,821404,821404
169,1,1.000,964528,964528,964528,964528,964528,964528,964528,964528,964528
170,4,4.000,176072,182394,209683,321368,717325,717325,717325,717325,717325
171,1,1.000,876559,876559,876559,876559,876559,876559,876559,876559,876559
172,3,3.000,172284,172284,433691,501062,897213,897213,897213,897213,897213
173,1,1.000,703774,703774,703774,703774,703774,703774,703774,703774,703774
174,1,1.000,867633,867633,867633,867633,867633,867633,867633,867633,867633
175,1,1.000,931269,931269,931269,931269,931269,931269,931269,931269,931269
176,3,3.000,186526,186526,186814,461802,1012067,1012067,1012067,1012067,1012067
177,2,2.000,203529,203529,520849,362189,520849,520849,520849,520849,520849
178,1,1.000,765687,765687,765687,765687,765687,765687,765687,765687,765687
179,3,3.000,170493,170493,179198,356745,720546,720546,720546,720546,720546
180,2,2.000,168161,168161,768535,468348,768535,768535,768535,768535,768535
181,3,3.000,55336,55336,175227,361840,854958,854958,854958,854958,854958
182,2,2.000,169794,169794,849395,509594,849395,849395,849395,849395,849395
183,3,3.000,162181,162181,183696,296574,543846,543846,543846,543846,543846
184,2,2.000,441175,441175,501224,471199,501224,501224,501224,501224,501224
185,3,3.000,170112,170112,183935,346370,685063,685063,685063,685063,685063
186,2,2.000,161071,161071,917124,539097,917124,917124,917124,917124,917124
187,5,5.000,174096,182005,182436,181344,182591,185594,185594,185594,185594
188,2,2.000,170798,170798,2083264,1127031,2083264,2083264,2083264,2083264,2083264
189,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
190,1,1.000,942111,942111,942111,942111,942111,942111,942111,942111,942111
191,3,3.000,194741,194741,208259,366697,697093,697093,697093,697093,697093
192,2,2.000,190896,190896,575241,383068,575241,575241,575241,575241,575241
193,1,1.000,1011366,1011366,1011366,1011366,1011366,1011366,1011366,1011366,1011366
194,2,2.000,184498,184498,884349,534423,884349,884349,884349,884349,884349
195,4,4.000,58336,176932,563524,438912,956858,956858,956858,956858,956858
196,1,1.000,192782,192782,192782,192782,192782,192782,192782,192782,192782
197,2,2.000,196058,196058,845022,520540,845022,845022,845022,845022,845022
198,1,1.000,899051,899051,899051,899051,899051,899051,899051,899051,899051
199,4,4.000,177464,177986,206938,357201,866416,866416,866416,866416,866416
200,4,4.000,57740,168340,168998,313163,857576,857576,857576,857576,857576
201,2,2.000,160949,160949,572079,366514,572079,572079,572079,572079,572079
202,1,1.000,980675,980675,980675,980675,980675,980675,980675,980675,980675
203,1,1.000,705652,705652,705652,705652,705652,705652,705652,705652,705652
204,4,4.000,56225,175234,184574,243682,558698,558698,558698,558698,558698
205,3,3.000,178544,178544,211543,407557,832586,832586,832586,832586,832586
206,2,2.000,175341,175341,491266,333303,491266,491266,491266,491266,491266
207,2,2.000,180298,180298,968193,574245,968193,968193,968193,968193,968193
208,2,2.000,57761,57761,1368552,713156,1368552,1368552,1368552,1368552,1368552
209,1,1.000,979090,979090,979090,979090,979090,979090,979090,979090,979090
210,2,2.000,57347,57347,544261,300804,544261,544261,544261,544261,544261
211,2,2.000,170044,170044,759938,464991,759938,759938,759938,759938,759938
212,2,2.000,185047,185047,1098251,641649,1098251,1098251,1098251,1098251,1098251
213,1,1.000,760495,760495,760495,760495,760495,760495,760495,760495,760495
214,3,3.000,57890,57890,580667,442412,688680,688680,688680,688680,688680
215,4,4.000,53846,69883,191669,216088,548956,548956,548956,548956,548956
216,2,2.000,186845,186845,544023,365434,544023,544023,544023,544023,544023
217,2,2.000,170771,170771,810632,490701,810632,810632,810632,810632,810632
218,2,2.000,170482,170482,840892,505687,840892,840892,840892,840892,840892
219,4,4.000,160383,162762,597527,409062,715577,715577,715577,715577,715577
220,1,1.000,542229,542229,542229,542229,542229,542229,542229,542229,542229
221,4,4.000,175809,194424,194981,193575,209086,209086,209086,209086,209086
222,4,4.000,68225,178036,188932,349873,964301,964301,964301,964301,964301
223,3,3.000,172189,172189,176416,280636,493303,493303,493303,493303,493303
224,3,3.000,58655,58655,173222,396859,958702,958702,958702,958702,958702
225,2,2.000,172480,172480,607173,389826,607173,607173,607173,607173,607173
226,2,2.000,183008,183008,662669,422838,662669,662669,662669,662669,662669
227,2,2.000,71166,71166,885409,478287,885409,885409,885409,885409,885409
228,2,2.000,188278,188278,921348,554813,921348,921348,921348,921348,921348
229,4,4.000,171528,175387,184890,297470,658077,658077,658077,658077,658077
230,1,1.000,2176794,2176794,2176794,2176794,2176794,2176794,2176794,2176794,2176794
231,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
232,1,1.000,714015,714015,714015,714015,714015,714015,714015,714015,714015
233,4,4.000,58099,183876,198104,351501,965928,965928,965928,965928,965928
234,3,3.000,56636,56636,171515,166021,269914,269914,269914,269914,269914
235,3,3.000,174576,174576,180516,316720,595069,595069,595069,595069,595069
236,4,4.000,162401,170375,179648,236293,432751,432751,432751,432751,432751
237,3,3.000,183559,183559,214590,390435,773158,773158,773158,773158,773158
238,3,3.000,161652,161652,167505,280095,511128,511128,511128,511128,511128
239,3,3.000,176945,176945,671489,509027,678648,678648,678648,678648,678648
240,2,2.000,67870,67870,596456,332163,596456,596456,596456,596456,596456
241,3,3.000,167224,167224,173032,299442,558072,558072,558072,558072,558072
242,3,3.000,171280,171280,185832,444689,976956,976956,976956,976956,976956
243,2,2.000,57123,57123,775265,416194,775265,775265,775265,775265,775265
244,3,3.000,71993,71993,592571,528863,922025,922025,922025,922025,922025
245,1,1.000,172679,172679,172679,172679,172679,172679,172679,172679,172679
246,3,3.000,163189,163189,619976,474515,640382,640382,640382,640382,640382
247,1,1.000,529843,529843,529843,529843,529843,529843,529843,529843,529843
248,2,2.000,497165,497165,1009865,753515,1009865,1009865,1009865,1009865,1009865
