Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
265,5,5.000,142454,156708,161499,226033,322052,347455,347455,347455,347455
266,5,5.000,158886,161577,165472,187886,167491,286007,286007,286007,286007
267,4,4.000,147493,202586,294202,241653,322331,322331,322331,322331,322331
268,4,4.000,196267,223128,282612,258258,331026,331026,331026,331026,331026
269,5,5.000,155764,156424,166564,215424,296139,302232,302232,302232,302232
270,5,5.000,42651,158364,166562,159396,173184,256220,256220,256220,256220
271,8,8.000,12513,145330,161448,156314,230643,324034,324034,324034,324034
272,3,3.000,169206,169206,237927,246587,332628,332628,332628,332628,332628
273,7,7.000,42327,43082,153258,143029,202426,234750,234750,234750,234750
274,7,7.000,45836,113937,133243,139327,173157,216140,216140,216140,216140
275,7,7.000,118186,123523,137656,163794,235718,256116,256116,256116,256116
276,5,5.000,111486,114909,172275,189302,233050,314793,314793,314793,314793
277,7,7.000,50534,97442,104495,129183,171287,255702,255702,255702,255702
278,6,6.000,110879,125659,243202,202273,244010,273215,273215,273215,273215
279,5,5.000,45331,113694,126205,177086,294040,306163,306163,306163,306163
280,6,6.000,42723,122876,263377,187773,274097,289824,289824,289824,289824
281,5,5.000,114437,129592,197102,274791,295253,637571,637571,637571,637571
282,2,2.000,125640,125640,315530,220585,315530,315530,315530,315530,315530
283,6,6.000,130538,132642,153552,166604,215084,233377,233377,233377,233377
284,6,6.000,161519,161671,179483,181574,203815,217028,217028,217028,217028
285,6,6.000,41670,44864,191819,147265,225305,236713,236713,236713,236713
286,6,6.000,158042,162396,173343,190852,173454,310418,310418,310418,310418
287,5,5.000,163036,200576,201211,201199,201545,239629,239629,239629,239629
288,4,4.000,164746,184913,225395,220448,306738,306738,306738,306738,306738
289,6,6.000,152790,161604,192108,195194,238687,261652,261652,261652,261652
290,5,5.000,38898,167336,211476,184345,231525,272494,272494,272494,272494
291,7,7.000,8898,60734,179566,156486,199391,287360,287360,287360,287360
292,4,4.000,101741,196284,235652,197372,255811,255811,255811,255811,255811
293,5,5.000,11604,135659,258913,283308,343192,667175,667175,667175,667175
294,3,3.000,47654,47654,274175,312235,614877,614877,614877,614877,614877
295,6,6.000,52300,103304,131547,132381,131647,263542,263542,263542,263542
296,6,6.000,117770,119747,141475,157606,217395,227804,227804,227804,227804
297,6,6.000,109414,117235,137561,161576,231780,241798,241798,241798,241798
298,5,5.000,13583,179884,234835,265448,260281,638661,638661,638661,638661
299,4,4.000,115108,137644,177848,168097,241791,241791,241791,241791,241791
300,5,5.000,109269,175516,217990,211745,250128,305826,305826,305826,305826
301,6,6.000,97713,121815,202372,241975,293348,610909,610909,610909,610909
302,4,4.000,11879,115884,127188,108052,177257,177257,177257,177257,177257
303,7,7.000,39258,110665,164444,209877,240934,633926,633926,633926,633926
304,3,3.000,107709,107709,157742,324575,708276,708276,708276,708276,708276
305,5,5.000,11661,125843,126403,127588,161674,212363,212363,212363,212363
306,5,5.000,104872,153826,188874,196340,252013,282115,282115,282115,282115
307,5,5.000,161817,163559,213203,209538,234495,274617,274617,274617,274617
308,5,5.000,11310,166687,176076,175277,237379,284933,284933,284933,284933
309,5,5.000,155415,158447,197655,200406,208471,282044,282044,282044,282044
310,4,4.000,155029,197897,308832,252708,349077,349077,349077,349077,349077
311,4,4.000,192823,198071,270633,250038,338626,338626,338626,338626,338626
312,4,4.000,185136,276849,288329,259691,288451,288451,288451,288451,288451
313,5,5.000,39897,116442,136825,231994,227430,639376,639376,639376,639376
314,5,5.000,127966,157531,162297,207828,288596,302752,302752,302752,302752
315,4,4.000,176903,197756,248443,317441,646665,646665,646665,646665,646665
316,3,3.000,149086,149086,294218,251464,311088,311088,311088,311088,311088
317,5,5.000,117841,123528,137623,149587,149776,219167,219167,219167,219167
318,6,6.000,106531,133066,198632,189723,200869,331916,331916,331916,331916
319,7,7.000,109092,109242,125750,130962,137672,177675,177675,177675,177675
320,8,8.000,12852,114713,131588,120572,168350,230511,230511,230511,230511
321,5,5.000,13346,164407,199591,204259,289047,354907,354907,354907,354907
322,3,3.000,371316,371316,372673,482132,702407,702407,702407,702407,702407
323,2,2.000,244401,244401,324230,284315,324230,324230,324230,324230,324230
324,6,6.000,41535,57361,184167,151407,228306,253375,253375,253375,253375
325,5,5.000,145585,146694,167569,199134,213482,322340,322340,322340,322340
326,5,5.000,151936,197600,237908,233097,267730,310313,310313,310313,310313
327,6,6.000,9522,141489,179703,162970,198153,293252,293252,293252,293252
328,5,5.000,166595,203177,231109,217362,233776,252154,252154,252154,252154
329,5,5.000,148203,154825,179213,183077,209768,223380,223380,223380,223380
330,5,5.000,158031,159571,176549,186461,204074,234081,234081,234081,234081
331,6,6.000,41089,152884,167535,153439,197944,204964,204964,204964,204964
332,5,5.000,162567,172552,249589,220152,253219,262835,262835,262835,262835
333,6,6.000,13087,150198,186480,151664,187400,197281,197281,197281,197281
334,6,6.000,68831,131401,300748,215215,309074,313768,313768,313768,313768
335,4,4.000,157275,159156,167535,183421,249718,249718,249718,249718,249718
336,6,6.000,12241,170518,173503,184580,287610,292523,292523,292523,292523
337,4,4.000,167465,261526,284456,258127,319062,319062,319062,319062,319062
338,4,4.000,162059,262657,263462,245502,293832,293832,293832,293832,293832
339,4,4.000,159247,183598,226507,223280,323768,323768,323768,323768,323768
340,5,5.000,159464,163301,176429,191220,226350,230557,230557,230557,230557
341,5,5.000,152830,156374,291324,256077,296691,383170,383170,383170,383170
342,5,5.000,139214,151520,175812,188728,207733,269363,269363,269363,269363
343,4,4.000,163379,189093,218734,199819,228072,228072,228072,228072,228072
344,3,3.000,136456,136456,214121,345269,685231,685231,685231,685231,685231
345,5,5.000,116265,187945,236998,209244,246186,258827,258827,258827,258827
346,4,4.000,188007,206580,214974,220116,270905,270905,270905,270905,270905
347,8,8.000,9545,112133,128371,127443,243044,256973,256973,256973,256973
348,6,6.000,118108,128025,183329,175242,207412,247158,247158,247158,247158
349,5,5.000,44045,109696,111944,209218,125650,654759,654759,654759,654759
350,8,8.000,13616,113557,125570,117458,137643,293581,293581,293581,293581
351,8,8.000,41736,109362,133667,139282,201470,258869,258869,258869,258869
352,6,6.000,47422,112477,148623,140077,202160,216793,216793,216793,216793
353,6,6.000,114730,151904,170793,186947,251829,273305,273305,273305,273305
354,4,4.000,154767,201860,249105,227721,305154,305154,305154,305154,305154
355,5,5.000,157611,181234,227179,219462,235391,295899,295899,295899,295899
356,4,4.000,157561,159973,214109,219600,346759,346759,346759,346759,346759
357,5,5.000,160793,189380,191255,213921,216223,311955,311955,311955,311955
358,5,5.000,13241,158125,189497,181990,262729,286361,286361,286361,286361
359,5,5.000,167180,197399,208948,313315,227966,765085,765085,765085,765085
360,2,2.000,203089,203089,239758,221423,239758,239758,239758,239758,239758
361,4,4.000,132538,256475,303851,252990,319096,319096,319096,319096,319096
362,4,4.000,203180,229163,265173,248895,298065,298065,298065,298065,298065
363,4,4.000,136960,294629,299106,261739,316262,316262,316262,316262,316262
364,4,4.000,233475,245154,259961,257313,290662,290662,290662,290662,290662
365,5,5.000,147602,175750,181245,213870,231864,332892,332892,332892,332892
366,5,5.000,170114,171370,186059,232137,264164,368979,368979,368979,368979
367,4,4.000,12702,150711,255065,176728,288435,288435,288435,288435,288435
368,6,6.000,144145,174974,215022,200497,227423,249868,249868,249868,249868
369,4,4.000,164643,170801,245907,229468,336524,336524,336524,336524,336524
370,5,5.000,166117,166994,174939,177046,185682,191502,191502,191502,191502
371,5,5.000,163820,173541,174023,225141,293860,320462,320462,320462,320462
