Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
159,1,1.000,1333819,1333819,1333819,1333819,1333819,1333819,1333819,1333819,1333819
160,1,1.000,872838,872838,872838,872838,872838,872838,872838,872838,872838
161,1,1.000,764188,764188,764188,764188,764188,764188,764188,764188,764188
162,1,1.000,640973,640973,640973,640973,640973,640973,640973,640973,640973
163,3,3.000,146741,146741,556060,436365,606295,606295,606295,606295,606295
164,2,2.000,438505,438505,718210,578357,718210,718210,718210,718210,718210
165,2,2.000,147277,147277,183046,165161,183046,183046,183046,183046,183046
166,3,3.000,150422,150422,185391,405392,880363,880363,880363,880363,880363
167,2,2.000,145944,145944,889020,517482,889020,889020,889020,889020,889020
168,3,3.000,72820,72820,149106,259302,555982,555982,555982,555982,555982
169,3,3.000,149118,149118,157965,343554,723580,723580,723580,723580,723580
170,1,1.000,955589,955589,955589,955589,955589,955589,955589,955589,955589
171,2,2.000,469344,469344,931353,700348,931353,931353,931353,931353,931353
172,1,1.000,919953,919953,919953,919953,919953,919953,919953,919953,919953
173,3,3.000,145596,145596,156475,336591,707703,707703,707703,707703,707703
174,1,1.000,998745,998745,998745,998745,998745,998745,998745,998745,998745
175,1,1.000,754884,754884,754884,754884,754884,754884,754884,754884,754884
176,2,2.000,602907,602907,856404,729655,856404,856404,856404,856404,856404
177,2,2.000,149465,149465,440393,294929,440393,440393,440393,440393,440393
178,1,1.000,885978,885978,885978,885978,885978,885978,885978,885978,885978
179,3,3.000,146751,146751,756194,744265,1329851,1329851,1329851,1329851,1329851
180,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
181,2,2.000,153276,153276,1302673,727974,1302673,1302673,1302673,1302673,1302673
182,2,2.000,143156,143156,805877,474516,805877,805877,805877,805877,805877
183,1,1.000,1017443,1017443,1017443,1017443,1017443,1017443,1017443,1017443,1017443
184,1,1.000,828832,828832,828832,828832,828832,828832,828832,828832,828832
185,2,2.000,146517,146517,1311171,728844,1311171,1311171,1311171,1311171,1311171
186,1,1.000,155169,155169,155169,155169,155169,155169,155169,155169,155169
187,7,7.000,83410,145663,154938,231530,172015,760994,760994,760994,760994
188,1,1.000,994995,994995,994995,994995,994995,994995,994995,994995,994995
189,1,1.000,947850,947850,947850,947850,947850,947850,947850,947850,947850
190,1,1.000,894521,894521,894521,894521,894521,894521,894521,894521,894521
191,1,1.000,835775,835775,835775,835775,835775,835775,835775,835775,835775
192,2,2.000,146964,146964,453285,300124,453285,453285,453285,453285,453285
193,2,2.000,147146,147146,851369,499257,851369,851369,851369,851369,851369
194,3,3.000,145829,145829,151191,331146,696419,696419,696419,696419,696419
195,2,2.000,585784,585784,1108797,847290,1108797,1108797,1108797,1108797,1108797
196,3,3.000,72033,72033,159223,287970,632654,632654,632654,632654,632654
197,3,3.000,161590,161590,161889,333737,677732,677732,677732,677732,677732
198,3,3.000,164092,164092,184741,445859,988746,988746,988746,988746,988746
199,2,2.000,72987,72987,671975,372481,671975,671975,671975,671975,671975
200,1,1.000,542948,542948,542948,542948,542948,542948,542948,542948,542948
201,3,3.000,145346,145346,182055,359487,751060,751060,751060,751060,751060
202,3,3.000,146175,146175,146971,312088,643119,643119,643119,643119,643119
203,1,1.000,863435,863435,863435,863435,863435,863435,863435,863435,863435
204,4,4.000,143644,157154,183038,271274,601263,601263,601263,601263,601263
205,3,3.000,70387,70387,432090,424876,772153,772153,772153,772153,772153
206,1,1.000,593383,593383,593383,593383,593383,593383,593383,593383,593383
207,3,3.000,143808,143808,539614,512489,854047,854047,854047,854047,854047
208,2,2.000,147467,147467,864904,506185,864904,864904,864904,864904,864904
209,2,2.000,144506,144506,1316181,730343,1316181,1316181,1316181,1316181,1316181
210,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
211,2,2.000,145713,145713,1015089,580401,1015089,1015089,1015089,1015089,1015089
212,2,2.000,153192,153192,1314515,733853,1314515,1314515,1314515,1314515,1314515
213,1,1.000,870653,870653,870653,870653,870653,870653,870653,870653,870653
214,2,2.000,156407,156407,1339897,748152,1339897,1339897,1339897,1339897,1339897
215,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
216,2,2.000,493352,493352,881183,687267,881183,881183,881183,881183,881183
217,1,1.000,848782,848782,848782,848782,848782,848782,848782,848782,848782
218,1,1.000,935921,935921,935921,935921,935921,935921,935921,935921,935921
219,3,3.000,143882,143882,144590,280388,552693,552693,552693,552693,552693
220,4,4.000,68679,174120,546418,373435,704526,704526,704526,704526,704526
221,1,1.000,720362,720362,720362,720362,720362,720362,720362,720362,720362
222,1,1.000,755141,755141,755141,755141,755141,755141,755141,755141,755141
223,2,2.000,102149,102149,913652,507900,913652,913652,913652,913652,913652
224,1,1.000,979025,979025,979025,979025,979025,979025,979025,979025,979025
225,2,2.000,158856,158856,867768,513312,867768,867768,867768,867768,867768
226,3,3.000,157708,157708,610759,465105,626849,626849,626849,626849,626849
227,2,2.000,181931,181931,1056542,619236,1056542,1056542,1056542,1056542,1056542
228,1,1.000,607828,607828,607828,607828,607828,607828,607828,607828,607828
229,3,3.000,155854,155854,534579,444348,642612,642612,642612,642612,642612
230,2,2.000,169684,169684,559223,364453,559223,559223,559223,559223,559223
231,5,5.000,72376,147480,158005,139449,159472,159915,159915,159915,159915
232,2,2.000,754230,754230,821980,788105,821980,821980,821980,821980,821980
233,3,3.000,150215,150215,155867,397288,885782,885782,885782,885782,885782
234,2,2.000,148252,148252,157846,153049,157846,157846,157846,157846,157846
235,7,7.000,68851,144501,144817,138600,158852,161115,161115,161115,161115
236,3,3.000,175452,175452,547539,551095,930294,930294,930294,930294,930294
237,1,1.000,599866,599866,599866,599866,599866,599866,599866,599866,599866
238,1,1.000,1022654,1022654,1022654,1022654,1022654,1022654,1022654,1022654,1022654
239,4,4.000,144659,146229,173758,360008,975388,975388,975388,975388,975388
240,2,2.000,157905,157905,491482,324693,491482,491482,491482,491482,491482
241,2,2.000,449210,449210,679136,564173,679136,679136,679136,679136,679136
242,2,2.000,160783,160783,1304193,732488,1304193,1304193,1304193,1304193,1304193
243,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
244,3,3.000,153679,153679,449124,435289,703066,703066,703066,703066,703066
245,5,5.000,70703,144858,154656,237541,174881,642611,642611,642611,642611
246,3,3.000,145172,145172,170746,266934,484885,484885,484885,484885,484885
247,3,3.000,157198,157198,183486,563064,1348508,1348508,1348508,1348508,1348508
248,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
249,2,2.000,489997,489997,511589,500793,511589,511589,511589,511589,511589
250,5,5.000,84949,144846,145058,205061,159380,491076,491076,491076,491076
251,3,3.000,70120,70120,452147,407586,700491,700491,700491,700491,700491
252,1,1.000,1349909,1349909,1349909,1349909,1349909,1349909,1349909,1349909,1349909
253,1,1.000,582740,582740,582740,582740,582740,582740,582740,582740,582740
254,5,5.000,73281,147635,159591,248986,175288,689135,689135,689135,689135
255,1,1.000,981017,981017,981017,981017,981017,981017,981017,981017,981017
256,4,4.000,72142,148901,160601,252968,630229,630229,630229,630229,630229
257,2,2.000,490778,490778,852480,671629,852480,852480,852480,852480,852480
258,2,2.000,149513,149513,786692,468102,786692,786692,786692,786692,786692
259,1,1.000,854885,854885,854885,854885,854885,854885,854885,854885,854885
260,2,2.000,148801,148801,672912,410856,672912,672912,672912,672912,672912
261,1,1.000,715305,715305,715305,715305,715305,715305,715305,715305,715305
262,2,2.000,498258,498258,962429,730343,962429,962429,962429,962429,962429
263,2,2.000,177069,177069,810724,493896,810724,810724,810724,810724,810724
264,1,1.000,545808,545808,545808,545808,545808,545808,545808,545808,545808
265,4,4.000,150652,157688,439583,322852,543488,543488,543488,543488,543488
266,1,1.000,719397,719397,719397,719397,719397,719397,719397,719397,719397
267,3,3.000,158239,158239,183338,296746,548663,548663,548663,548663,548663
268,2,2.000,976328,976328,1354515,1165421,1354515,1354515,1354515,1354515,1354515
269,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
270,2,2.000,157337,157337,1310603,733970,1310603,1310603,1310603,1310603,1310603
271,2,2.000,144002,144002,547677,345839,547677,547677,547677,547677,547677
272,2,2.000,172623,172623,976739,574681,976739,976739,976739,976739,976739
273,2,2.000,145133,145133,659754,402443,659754,659754,659754,659754,659754
274,4,4.000,148805,154987,170931,447528,1315390,1315390,1315390,1315390,1315390
275,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
276,2,2.000,67256,67256,703769,385512,703769,703769,703769,703769,703769
277,2,2.000,153861,153861,1317567,735714,1317567,1317567,1317567,1317567,1317567
278,2,2.000,290349,290349,404369,347359,404369,404369,404369,404369,404369
279,2,2.000,464290,464290,926670,695480,926670,926670,926670,926670,926670
280,1,1.000,1418217,1418217,1418217,1418217,1418217,1418217,1418217,1418217,1418217
281,1,1.000,882239,882239,882239,882239,882239,882239,882239,882239,882239
282,1,1.000,583379,583379,583379,583379,583379,583379,583379,583379,583379
283,2,2.000,145057,145057,939577,542317,939577,939577,939577,939577,939577
284,4,4.000,74279,151007,171554,316348,868555,868555,868555,868555,868555
285,1,1.000,937354,937354,937354,937354,937354,937354,937354,937354,937354
286,2,2.000,157325,157325,158029,157677,158029,158029,158029,158029,158029
287,3,3.000,143781,143781,144058,321892,677838,677838,677838,677838,677838
288,3,3.000,71098,71098,187456,384585,895203,895203,895203,895203,895203
289,3,3.000,144554,144554,158535,285664,553904,553904,553904,553904,553904
290,3,3.000,154610,154610,155331,542144,1316492,1316492,1316492,1316492,1316492
291,1,1.000,855539,855539,855539,855539,855539,855539,855539,855539,855539
292,1,1.000,702539,702539,702539,702539,702539,702539,702539,702539,702539
293,4,4.000,144374,156212,157150,447029,1330383,1330383,1330383,1330383,1330383
294,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
295,2,2.000,541659,541659,546033,543846,546033,546033,546033,546033,546033
296,3,3.000,146350,146350,146435,547154,1348679,1348679,1348679,1348679,1348679
297,3,3.000,69243,69243,163322,277846,600974,600974,600974,600974,600974
298,3,3.000,148629,148629,156925,154593,158225,158225,158225,158225,158225
299,3,3.000,144594,144594,702641,623598,1023560,1023560,1023560,1023560,1023560
300,1,1.000,155973,155973,155973,155973,155973,155973,155973,155973,155973
301,3,3.000,147906,147906,747741,551903,760062,760062,760062,760062,760062
302,3,3.000,72968,72968,161736,248891,511970,511970,511970,511970,511970
303,1,1.000,899174,899174,899174,899174,899174,899174,899174,899174,899174
304,1,1.000,1317808,1317808,1317808,1317808,1317808,1317808,1317808,1317808,1317808
305,2,2.000,154164,154164,839278,496721,839278,839278,839278,839278,839278
306,3,3.000,145212,145212,145239,154450,172900,172900,172900,172900,172900
307,3,3.000,158695,158695,514527,518576,882507,882507,882507,882507,882507
308,2,2.000,146178,146178,795691,470934,795691,795691,795691,795691,795691
309,3,3.000,74575,74575,152577,128455,158213,158213,158213,158213,158213
310,4,4.000,72470,154151,726369,459773,886105,886105,886105,886105,886105
311,1,1.000,151470,151470,151470,151470,151470,151470,151470,151470,151470
312,3,3.000,146507,146507,152273,369596,810009,810009,810009,810009,810009
313,3,3.000,77164,77164,565121,492979,836654,836654,836654,836654,836654
314,1,1.000,850079,850079,850079,850079,850079,850079,850079,850079,850079
315,1,1.000,1423204,1423204,1423204,1423204,1423204,1423204,1423204,1423204,1423204
316,1,1.000,501531,501531,501531,501531,501531,501531,501531,501531,501531
317,1,1.000,965415,965415,965415,965415,965415,965415,965415,965415,965415
318,2,2.000,77881,77881,922678,500279,922678,922678,922678,922678,922678
319,3,3.000,144380,144380,148178,252568,465147,465147,465147,465147,465147
320,2,2.000,484591,484591,749748,617169,749748,749748,749748,749748,749748
321,3,3.000,150240,150240,159252,373646,811447,811447,811447,811447,811447
322,2,2.000,158008,158008,448622,303315,448622,448622,448622,448622,448622
323,2,2.000,620027,620027,668021,644024,668021,668021,668021,668021,668021
324,3,3.000,146992,146992,176447,355452,742917,742917,742917,742917,742917
325,3,3.000,72502,72502,145938,403813,993001,993001,993001,993001,993001
326,1,1.000,432934,432934,432934,432934,432934,432934,432934,432934,432934
327,3,3.000,68829,68829,152298,331637,773786,773786,773786,773786,773786
328,2,2.000,145235,145235,918328,531781,918328,918328,918328,918328,918328
329,3,3.000,72894,72894,179409,333016,746747,746747,746747,746747,746747
